"Genres","Title","Year","Votes","Rating"
"Comedy,Talk-Show","Foster Brooks/Victor Buono/Adela Rogers St. Johns/Joan Embery",1975,13,7.5
"Comedy","The Tall Cowboy Sketch",1963,24,8.1
"Documentary,Short","America, Preferred",1941,51,5.6
"Drama","The Enchanted Cottage",1924,596,6.5
"Western","Killer at Large",1966,89,8.3
"Crime,Drama,Film-Noir","Tous peuvent me tuer",1957,71,6.4
"Action,Drama,Western","Three Godfathers",1936,553,7.3
"Drama,War","Five Minutes of Paradise",1959,11,6.2
"Drama","Der Mörder Dimitri Karamasoff",1931,148,7.3
"Western","Winner Take All",1965,61,7.7
"Comedy","Geld macht nicht glücklich",1989,6,5.8
"Comedy,Short","A Preferred List",1933,8,6.8
"Comedy,Music","Buck Henry/Leon Redbone",1977,54,7.1
"Fantasy,History,Short","Zuiketsu gensô - Tonkararin yume densetsu",2001,16,4.6
"Western","The Voice of Silence",1961,76,8.4
"Comedy,Romance,War","Careful, Soft Shoulders",1942,28,6.2
"Crime,Drama,Western","Trigger Happy",1959,10,7.1
"Animation,Comedy,Family","The Ghost of the Red Baron",1972,74,7.6
"Comedy,Family","The Hurricane",1953,11,8.5
"Drama,Musical,Romance","By the Bluest of Seas",1936,790,7.1
"Documentary,History","Treasure Seekers: Quest for the Grail",2001,15,6.7
"Western","Incident at Fort Bowie",1960,15,7.1
"Animation,Comedy,Family","Dumb-Hounded",1943,857,7.5
"Comedy,Short","Riders of the Kitchen Range",1925,8,4.9
"Documentary,Short","Sucker Bait",1943,6,7.5
"Drama","June Night",1940,374,6.1
"Comedy,Drama","Hold That Baby!",1949,183,6.3
"Drama,Short","In Absentia",2002,22,7.3
"Animation,Comedy,Short","Daffy Duck's Thanks-for-Giving Special",1980,41,6.0
"Drama","Ned McCobb's Daughter",1928,9,5.8
"Comedy","Les pique-assiette",1960,18,5.2
"Western","The Joker",1958,29,8.3
"Action,Comedy,Crime","Blackmailer",1936,9,5.2
"Comedy","Touch' pas à mon biniou",1980,15,3.1
"Family,Game-Show,Talk-Show","Eliana na Fábrica Maluca",2003,7,6.3
"Animation,Comedy,Family","Not Ghoulty",1959,28,6.3
"Animation,Short","Bunny Mooning",1937,88,6.0
"Adventure,Western","Powder Keg",1957,14,7.7
"Crime,Drama,Mystery","F.O.B. Honolulu: Part II",1971,69,8.0
"Comedy","Rascel marine",1958,9,5.0
"Comedy","George's Guilt",1977,34,7.5
"Adventure","Fantomas",1920,17,6.9
"Action,Crime,Sci-Fi","The Ray Is for Killing",1966,54,7.4
"Action,Adventure,Drama","Kill Oscar: Part 3",1976,76,8.6
"Drama,Romance","Dyskoloi dromoi",1965,5,5.0
"Family,Fantasy,Music","1621: Fathers and Music",1990,5,6.8
"Crime,Drama,Thriller","Himmelblau mit Silberstreifen",1977,18,5.8
"Western","Dodge City Gets a New Marshal",1956,23,7.8
"Comedy,Drama","Sort of an Officer and a Gentleman: Part 1",2003,81,7.4
"Comedy,Short","Hello Baby!",1925,25,7.7
"Adventure,Animation,Drama","Hikyomono no choro teikoku",1979,12,5.8
"Western","Child of Rock and Sunlight",1969,16,8.3
"Drama","Frau Sixta",1938,14,7.5
"Animation,Comedy,Family","Trip for Tat",1960,95,6.5
"Action,Adventure,Drama","A Yank in the R.A.F.",1941,1132,6.5
"Comedy","Pozor strasí",1938,8,6.0
"Comedy,Drama","Le soleil a toujours raison",1943,24,6.9
"Comedy","Fridolf sticker opp!",1958,58,5.2
"Comedy","Next to No Time",1958,87,6.1
"Adventure,Animation,Comedy","Gabby Auntie",1968,8,5.2
"Comedy,Fantasy,Romance","Here Comes Mr. Jordan",1941,5483,7.6
"Drama","Flying Fifty-Five",1939,31,5.8
"Drama","Lyudi na mostu",1960,27,6.4
"Adventure","The Heart of the Yukon",1927,12,5.6
"Animation,Comedy,Family","Woolen Under Where",1963,264,7.5
"Comedy,Family","Charley Does It Himself",1962,8,6.9
"Action,Mystery,Romance","The Star Packer",1934,907,5.2
"Comedy,Musical,Romance","Mr. Nightingale",1948,34,5.6
"Animation,Fantasy,Short","Ivashko i Baba-Yaga",1938,27,6.7
"Musical,Romance","The Divorcée",1953,5,6.4
"Drama,Sport","Stablemates",1938,168,6.9
"Crime,Drama,Film-Noir","Shed No Tears",1948,246,6.4
"Adventure,Animation,Drama","Kasei no akai kaze",1978,15,6.1
"Animation,Short","John Henry and the Inky-Poo",1946,214,6.5
"Comedy","First Lady",1937,331,6.2
"Action,Adventure","The Carpathian Caper Affair",1967,14,6.5
"Comedy","Oscar in Love",1974,24,7.2
"Drama","Tuomari Martta",1943,31,5.6
"Comedy","Pantalaskas",1960,12,8.2
"Action,Animation,Comedy","The Vacuum Gun, Part 2",1967,7,6.9
"Comedy","Void Where Prohibited by In-Laws",1969,9,8.0
"Comedy","Jack Locked in the Tower of London",1956,19,7.2
"Western","Tracy Rides",1935,9,6.2
"Comedy","The Superior Mother",1937,17,6.1
"Drama","Mary Jane Harper Cried Last Night",1977,184,7.4
"Short","A Door Will Open",1940,10,7.3
"Animation,Comedy,Family","Injun Trouble",1938,113,6.7
"Western","Renegades",1958,40,8.4
"Animation,Comedy,Family","Rue Britannia/Earl and Water Don't Mix or Next Time, Take the Drain",1961,13,8.2
"Crime,Drama,Mystery","The Falcon and the Co-eds",1943,588,6.5
"Mystery","Blind Chess",1989,22,5.7
"Comedy,Family","The Festival",1953,10,8.7
"Drama,Romance","Rytm serca",1977,7,6.3
"Comedy","Surprise Party for Mortons/Sanitarium Routine",1953,14,8.8
"Comedy","Ayiram Poi",1969,7,6.9
"Western","Harry Tracy",1954,15,7.3
"Documentary","The Men Who Made the Movies: Vincente Minnelli",1973,141,8.1
"Comedy","Beware the Vanilla Slice",1999,23,7.4
"Comedy","Die Gäste des Felix Hechinger",1964,36,8.1
"Drama","Una familia de tantas",1949,214,7.8
"Comedy,Sport","Racquet",1979,101,2.7
"Comedy,Fantasy","Topper Goes to Las Vegas",1954,10,6.4
"Drama,Family","Ai de jiao yu",1961,15,7.9
"Western","The Jackknife",1962,59,7.4
"Drama,Thriller","El 13-13",1944,16,4.2
"Adult,Comedy","Liquid A$$ets",1982,57,6.8
"Biography,Comedy,Musical","Words and Music",1948,1088,6.4
"Drama,Music,Romance","The Big Street",1942,1080,6.5
"Comedy","A Yank in Ermine",1955,59,4.9
"Drama","Whither Shall I Wander?",1975,60,9.3
"Short","Un monsieur qui a mangé du taureau",1935,27,6.9
"Comedy","Dela lika",1974,6,8.2
"Comedy","Jack Answers Request Letters",1963,18,8.1
"Comedy","The Dervish Boys",1960,35,5.4
"Drama","The Prince of Avenue A",1920,23,3.0
"Comedy,Drama,Sport","The Great Game",1953,71,6.2
"Drama","The Day Time Stopped",1966,7,9.4
"Drama","Bir küçük bulut",1990,25,7.8
"Adventure,Animation,Sci-Fi","Shito no taiketsu",1979,18,6.4
"Animation,Comedy,Family","Viktorov jajomat",1970,6,8.0
"Drama,Romance","El rosario",1944,5,8.4
"Comedy","Only Boy in the Class",1966,19,7.1
"Comedy","A Tug of the Forelock",1976,48,7.8
"Drama","Wolo czawienko",1916,35,5.7
"Animation,Family,Musical","Lolly, Lolly, Lolly, Get Your Adverbs Here",1974,32,8.4
"Animation,Comedy,Short","Red Hot Riding Hood",1943,2138,7.7
"Comedy","Return of the Warrior",1990,40,8.6
"Comedy","Hazel's Tax Deduction",1962,28,7.8
"Animation,Short","Mickey's New Car",1999,30,6.1
"Animation,Comedy,Family","Frighty Cat",1958,19,5.8
"Action,Crime,Mystery","X Marks the Spot",1942,180,5.1
"Comedy","The Bow Wow Boutique",1973,14,7.3
"Animation,Comedy,Family","Fun on the Freeway or The Quick and the Dead/Bullwinkle Makes a Movie or The Feature from Outer Space",1961,16,8.1
"Action,Comedy,Drama","The Golden Valley",1937,9,6.4
"Action,Adventure,Western","Nevada",1944,241,6.1
"Comedy,Fantasy,Short","The Apparition",1903,287,5.7
"Drama","Trophy",1979,16,6.2
"Animation,Comedy,Family","Panda! Go Panda!",1972,1573,6.8
"Crime,Drama","The Bankrupt",1972,28,8.1
"Drama","Ai",1955,26,6.3
"Drama,Romance","The Truth About Youth",1930,217,5.7
"Documentary,Short","Czechoslovakia on Parade",1938,39,6.5
"Drama,War","Krzyz Walecznych",1959,103,6.8
"Comedy,Fantasy,Romance","A Connecticut Yankee",1931,267,6.5
"Western","Return of Django",1967,111,5.3
"Comedy,Musical,Romance","Adventure in Marienstadt",1954,82,5.8
"Drama,Romance","La grande strada azzurra",1957,544,6.9
"Comedy,Drama","Bridget's First Job",2002,97,7.3
"Drama,Mystery","Mysteries",1978,162,5.2
"Drama","Corpo Celeste",2011,962,6.7
"Animation,Short","Pod yolkoy",1986,20,6.4
"Adventure,Animation,Sci-Fi","Uru Kworun no chôsen",1979,17,5.0
"Crime,Drama,Mystery","The Hijackers",1965,10,7.9
"Drama","A Wife's Heart",1956,121,7.0
"Comedy,Family","Staten Island Ferry",1956,170,8.9
"Comedy","Goldie, Fields and Glide",1954,31,7.9
"Family,Western","Joey Goes Hunting",1955,10,7.0
"Drama,Short","The Price of Betrayal",1915,17,6.9
"Drama","Executive Suite",1954,3289,7.4
"Western","The Cure",1961,45,7.2
"Drama,Thriller","The Passion of Berenice",1976,202,7.2
"Drama,Mystery","The Net",1975,90,5.7
"Western","Mr. Trouble",1951,23,8.4
"Crime,Drama,Mystery","The Case of the Fanciful Frail",1966,111,8.0
"Family,Fantasy,Music","21",1968,5,8.8
"Comedy,Drama,Romance","Küçük hanimefendi",1961,84,5.8
"Crime,Drama","Danger on My Side",1962,88,5.2
"Western","The Eve Newhope Story",1962,14,7.8
"Comedy,Romance","Kispus",1956,86,6.2
"Comedy,Mystery","There's Always a Woman",1938,611,6.8
"Comedy,Drama","Pelli Chesi Choodu",1952,32,8.4
"Drama","Interlude",1946,42,5.4
"Horror","The Feast of Satan",1971,138,4.8
"Adventure,Animation,Family","The Man from Button Willow",1965,107,5.7
"Action,Crime,Drama","¡Yo sabia demasiado!",1960,5,5.0
"Crime,Drama,Mystery","Anonymous Letters",1973,27,7.3
"Animation,Comedy,Family","Gulliver Mickey",1934,919,7.2
"Comedy,Crime","The Ugly Duckling",1959,89,5.8
"Comedy,Romance","The Good Fairy",1935,1098,7.6
"Crime,Drama","The Vizconde Massacre: God, Help Us!",1993,17,6.3
"Fantasy,Short","A Turn of the Century Illusionist",1899,862,6.4
"Animation,Comedy,Family","Porky in Wackyland",1938,1823,7.7
"Drama,Family,Fantasy","The Word",2002,22,8.3
"Drama","Dos mujeres y un hombre",1971,7,5.6
"Drama","Der Kampf um den Reigen",1969,10,8.0
"Western","The Good Fight",1962,8,6.6
"Drama","Sorrell and Son",1933,6,3.7
"Comedy,Drama","The Witness",1969,5605,8.8
"Crime,Drama,Mystery","Meet Simon Cherry",1949,33,6.0
"Animation,Comedy,Family","The Sleepwalker",1942,228,6.7
"Comedy,Short","His First Tooth",1916,49,5.6
"Animation,Comedy,Family","Captains Outrageous",1952,31,6.4
"Documentary,Short","Israel",1959,8,5.5
"Musical","At Green Cockatoo by Night",1957,27,6.6
"Comedy,Drama,Family","Thanksgiving Crossover: Part 1",1979,48,6.9
"Adventure,Animation,Comedy","A Snow White Christmas",1980,128,6.6
"Documentary","Violent Nation",2005,32,5.3
"Crime,Drama,Mystery","Cocoon",1968,390,8.0
"Animation,Short","Dying for a Smoke",1967,11,7.2
"Action,Adventure,Western","Wild Horse Stampede",1943,63,6.3
"Animation,Comedy,Family","Wedding Bell Boos!",1983,20,8.1
"Drama","Orgullo de mujer",1956,13,6.1
"Animation,Comedy,Family","I Gopher You",1954,170,7.4
"Comedy,Short","Waiting at the Church",1906,18,4.8
"Action,Adventure,Animation","Security Hazard",1966,70,5.7
"Comedy,Drama,Romance","Bad Seed",1934,617,6.0
"Comedy,Drama,Music","Beaches",1988,21843,6.9
"Comedy,Romance","Fantozzi in Heaven",1993,1246,5.5
"Documentary","The Fly Papers: The Buzz on Hollywood's Scariest Insect",2000,18,7.1
"Comedy","Çilgin yenge",1972,23,5.2
"Action,Adventure,Crime","To Kill an Angel",1976,132,7.1
"Crime,Drama,Mystery","Murder in Mind",1989,23,7.9
"Drama","The Loves of Joanna Godden",1947,117,6.9
"Drama","Job à tout prix",2011,15,5.9
"Crime,Drama","Twice Branded",1936,30,5.6
"Action,Crime,Drama","The Persistent Patriots",1967,70,7.4
"Comedy,Musical","Honoré de Marseille",1956,122,4.7
"Action,Adventure,Crime","Bruce Gentry",1949,37,6.0
"Adventure,Animation,Family","The Adventures of Spunky and Tadpole",1958,18,6.1
"Action,Adventure,Crime","The Prince Albert Coat",1957,70,7.6
"Comedy","Elizabeth's New Admirer",1977,22,8.3
"Comedy,Romance","El matrimonio es como el demonio",1969,32,7.3
"Biography,Documentary,War","The Finest Hours",1964,50,7.3
"Drama","Tunes of Glory",1960,3194,7.5
"Documentary","The Guerrero Project",2004,9,8.0
"Comedy,Horror,Musical","The Phantom of the Operetta",1955,12,3.8
"Animation,Comedy,Family","Betty Boop's Trial",1934,111,6.4
"Horror,Thriller","Sweet Kill",1972,227,5.0
"Drama,Short","The Hunchback of Notre Dame",1911,28,5.8
"Action,Crime,Drama","The Fiction Makers: Part 2",1968,41,7.2
"Western","The Equalizer",1961,37,7.8
"Crime","Company of Fools",1966,24,6.3
"Drama,Romance","Shanghai",1935,76,6.6
"Drama","This Town for Sale",1965,6,6.3
"Adventure,Drama,Family","The Survival",1970,6,7.5
"Action,Adventure,Short","Spills for Thrills",1940,61,7.1
"Comedy,Mystery","The Runaround",1946,69,7.0
"Comedy","Suvinen satu",1925,6,4.8
"Action,Drama,History","The Affairs of Messalina",1951,74,5.6
"Comedy","Carrie Sings the Blues",1980,17,6.7
"Animation,Comedy,Family","Astro-nut Huck/Crew Cat/Hokey in the Pokey",1960,19,7.6
"Action,Animation,Crime","Destruction Inc.",1942,481,6.7
"Comedy","The Flying Felix",1974,45,8.4
"Drama","The Trespasser",1929,1190,6.6
"Comedy","Jack Goes to Las Vegas",1961,21,7.9
"Adventure,Drama,Thriller","Wie alles begann",1977,6,7.7
"Comedy,Drama","Mexicano hasta las cachas",1979,24,7.0
"Comedy,Crime","Guinguette",1959,14,5.5
"Comedy,Drama,Romance","Ein Lied geht um die Welt",1933,39,6.7
"Comedy,Crime,Drama","A Woman's Help",1961,138,7.7
"Crime,Drama,Mystery","The Case of the Pathetic Patient",1961,124,8.0
"Adventure,Crime,Drama","The Other Side of the Mountain",1963,141,7.5
"Drama","Man Without a Heart",1960,7,5.0
"Sci-Fi","The Time Travelers",1964,1979,5.0
"Adventure,Crime,Drama","Angels Travel on Lonely Roads: Part 2",1964,104,8.0
"Comedy,Romance","April in Portugal",1959,13,3.7
"Mystery,Western","Mystery Ranch",1932,61,7.2
"Animation,Short","Na zadney parte",1978,41,7.1
"Comedy","Fröken Julia jubilerar",1938,14,6.1
"Drama,Short","Passing Parade",1938,72,6.2
"Comedy,Music","Camel Comedy Caravan",1950,7,4.4
"Crime,Drama","Ironside",1967,241,7.3
"Drama,War","In the Rear of the Enemy",1941,21,6.3
"Crime,Drama","The Hatchet Man",1932,642,6.3
"Comedy,Family","Jody and Cissy",1966,41,7.8
"Comedy","Jack Opens Beverly Hills Office",1956,8,7.6
"Action,Comedy,Crime","B.D. In the Mountains and on the Seaside",1971,1605,8.6
"Comedy,Family","You Like Buffy Better",1967,20,7.8
"Comedy","This Is Your Wife",1970,6,6.5
"Drama,Short","Affaire classée",1932,7,6.1
"Action,Adventure,Crime","The Mexican Connection",1976,153,7.1
"Crime,Documentary","Grave Evidence",1998,44,6.8
"Drama","The Hypocrites",1916,10,7.0
"Mystery","Murder Will Out",1952,160,6.8
"Comedy","High Blood Pressure",1958,14,9.0
"Family,Musical","Teatertosset",1944,35,6.9
"Western","Colorado Gold",1954,20,8.6
"Adventure,Fantasy,Horror","The Mummy's Hand",1940,3206,6.1
"Comedy","Make me an Offer!",1955,114,6.3
"Comedy","Damenwahl",1953,11,6.9
"Comedy","Romancing Mr. Stone",1984,17,7.0
"Drama,History,Romance","Dancing on Graves",1950,61,5.2
"Comedy","Florenc 13:30",1957,55,6.4
"Action,Adventure,Romance","Desert Vengeance",1931,29,6.2
"Comedy,Drama","Brotherly Love",1928,7,5.9
"Western","Ride a Lonely Trail",1957,14,7.6
"Drama","Raghba, -al",1980,32,5.7
"Animation,Comedy,Family","Shopper13",2002,15,7.0
"Drama","The Girl with the Golden Eyes",1961,139,6.4
"Mystery","Port of Regrets",1954,6,7.0
"Drama,Horror","The Craving",1918,53,5.0
"Comedy","Chico's Problem",1976,5,6.6
"Biography,Documentary","Robert Rauschenberg: Inventive Genius",1999,44,5.8
"Romance,Western","Man from Del Rio",1956,470,6.3
"Comedy","Loupezník",1931,7,4.9
"Comedy","Anatomy of a Stain",1982,27,7.3
"Comedy,Short","The Old Bull",1932,66,5.4
"Adventure","37 Parallel",1986,14,7.1
"Drama","The Dervish and Death",1974,245,6.8
"Comedy,Drama,History","Wuthering Heights",1958,39,7.3
"Biography,Comedy,Drama","Friedrich Schiller - Eine Dichterjugend",1923,44,5.8
"Animation,Family","Muk-skorokhod",1975,74,6.7
"Comedy,Romance","Love on a Bet",1936,143,6.8
"Comedy,Drama,Family","Anjas Baby",1993,9,3.4
"Comedy,Musical","Neapolitan Carousel",1954,141,6.1
"Documentary,Short","The Great Escape: The Flight to Freedom",2001,21,6.6
"Adventure,Fantasy","Chandu on the Magic Island",1935,133,4.6
"Mystery","The Fat Man: The Thirty-Two Friends of Gina Lardelli",1959,13,7.5
"Adventure,History","Andreas Hofer",1929,14,3.6
"Mystery","Il patto dei sei",1969,11,7.9
"Action,Animation,Comedy","Round and Round, Pt 1",1966,6,6.3
"Animation,Comedy,Family","The New Neighbor",1953,310,7.4
"Comedy","Rudi na záletech",1911,33,4.4
"Western","The Invaders",1961,21,8.2
"Adult,Fantasy","Twilite Pink",1981,34,6.5
"Comedy","Uphill All the Way",1986,136,4.1
"Drama","A Fool There Was",1922,8,6.8
"Comedy","Bobbed Hair",1925,14,6.6
"Musical","Ball im Savoy",1935,11,6.5
"Comedy","Seven Years Bad Luck",1921,988,7.2
"Comedy,Romance","Gastspiel im Paradies",1938,9,6.4
"Comedy,Music","Una gallega en La Habana",1955,6,5.0
"Comedy,Family","Mr. Boynton's Return",1956,9,8.9
"Crime,Drama,Mystery","A Close Call for Boston Blackie",1946,274,6.1
"Comedy,Drama","Mem-Didi",1961,29,7.2
"Comedy","Jack as a Child",1953,10,5.2
"Adventure,Family","The Surgeon",1959,6,6.3
"Animation,Comedy,Family","What a Lion!",1938,26,5.2
"Action,Drama,Romance","Park Avenue Logger",1937,57,5.6
"Comedy","Winter Wonderland",1961,33,8.0
"Comedy","A Day in the Life of Wood Newton",1990,10,7.0
"Comedy","Owed to the Electrician",1984,5,6.4
"Adventure","The Highwayman",1951,66,7.0
"Adventure,Animation,Drama","Korekara no hoshi",1979,12,5.3
"Comedy","Tough Love",1981,20,7.3
"Drama","Valsa para Bruno Stein",2007,117,6.0
"Drama,War","The Rack",1956,1054,6.8
"Animation,Family","Kikkebakke boligby",1977,42,7.0
"Comedy,Western","Catlow",1971,957,5.6
"Drama","The Healing",1957,5,7.6
"Musical","Broadway Thru a Keyhole",1933,187,6.1
"Comedy,Crime","Sooo nicht, meine Herren",1960,10,7.0
"Comedy","Just Across the Street",1952,18,8.0
"Documentary,Mystery","Manbeast! Myth or Monster?",1978,25,6.4
"Comedy","Maude's Aunt",1977,31,8.3
"Crime,Drama,Thriller","Ninety Degrees in the Shade",1965,157,6.8
"Short","Shit Happens",1993,22,6.4
"Comedy","When the Orange Tree Flowers",1943,6,5.8
"Fantasy,Short","Miser's Dream",1899,8,4.0
"Comedy,Romance","Mama Steps Out",1937,119,5.9
"Adventure,Documentary","The Dragons of Galapagos",1971,6,8.2
"Comedy","Do It Yourself",1985,11,7.7
"Comedy,Short","So You Think the Grass Is Greener",1956,19,6.8
"Comedy","The Captain from Koepenick",1926,15,7.1
"Drama","There Was a Father",1942,2190,7.7
"Animation,Short","The Fulla Bluff Man",1940,12,4.2
"Action,Crime,Drama","An Eye for an Eye",1963,21,7.4
"Adventure,Drama,History","Romance of a Horsethief",1971,206,5.2
"Music","The Grand Concert",1951,12,5.8
"Comedy,Short","Jailed and Bailed",1923,34,6.4
"Crime,Drama,Mystery","Intelligence: DR-34",1969,31,7.0
"Drama,Family","The Stranger",1985,6,8.7
"Drama","Labyrinth",1976,8,5.1
"Documentary,Short","The American Road",1953,15,4.6
"Drama","Little Man, Big World",1952,6,7.0
"Drama,Mystery","The Secret Witness",1931,37,5.9
"Crime,Drama","A Bullet in the Gun Barrel",1958,40,5.6
"Comedy,Drama","Kanli Nigar",1981,2526,7.2
"Action,Crime,Drama","The Jazz Man",1963,12,6.3
"Crime,Drama,Romance","Casque d'Or",1952,4505,7.7
"Western","Black Waters",1952,15,8.3
"Animation,Short","Hugo for Mayor",1967,5,7.4
"Drama,Romance","Britannia Mews",1949,357,6.4
"Drama","Hard Times",1988,86,6.9
"Comedy","Pepino's Wedding",1961,12,8.0
"Adventure,Drama,Family","The Claws of Axos: Episode Two",1971,269,7.2
"Horror,Sci-Fi","Monster from Green Hell",1957,754,3.5
"Action,Crime,Drama","Hard Rock Roller Coaster",1973,40,7.8
"Documentary,Short","Pour le Mistral",1966,129,7.6
"Comedy,War","Alias Captain Binghamton",1963,35,7.9
"Comedy","The Invitation",1978,7,6.4
"Adventure","The Amorous Corporal",1958,24,4.2
"Mystery","Veleno in sartoria",1969,16,8.1
"Crime,Drama","Ladies Man",1960,22,6.2
"Drama,Mystery","The Third Key",1956,551,7.1
"Comedy","Synthetic Sin",1929,33,7.3
"Action,Animation","Stevie and Zoya",1987,5,5.2
"Comedy","Excess Baggage",1928,11,7.7
"Comedy,Thriller","His Maiden Voyage",1960,25,7.8
"Action,Crime,Drama","Island of Chance",1967,66,7.0
"Comedy,Romance","Getting Gertie's Garter",1945,152,6.6
"Adventure,Drama,Western","Spoilers of the Forest",1957,22,5.6
"Drama","I misteri di Parigi",1957,6,5.8
"Crime,Drama,Mystery","The Szechuan Dragon",1990,162,7.6
"Crime,Drama","Ohne festen Wohnsitz",1966,8,8.1
"Western","Death Watch",1966,66,7.8
"Adventure,Comedy","The Young Nobleman",1924,10,2.5
"Crime,Documentary","Fire Dot Com",2001,46,7.3
"Animation,Family","Professor Dumpkopf's Underwater Telescope",1984,5,6.6
"Animation,Short","It's So Nice to Have a Wolf Around the House",1979,57,6.1
"Comedy","Are You with It?",1948,67,7.0
"Western","The Suffragette",1956,20,7.0
"Comedy","Naivko",1975,78,7.0
"Comedy","Under the Rug",2000,25,7.9
"Comedy","A Secret in the Back Room",1985,31,8.0
"Crime,Drama,Mystery","The Heat of Passion",1961,13,6.8
"Action,Comedy,Romance","The Desperadoes",1943,1023,6.5
"Comedy","Romany Jones",1972,21,7.0
"Drama","St. John in Exile",1986,185,7.2
"Comedy,Family,Fantasy","Samantha's Wedding Present",1968,170,8.3
"Western","Daughter of the West",1949,15,6.7
"Drama,Romance,Western","Rawhide",1951,2130,7.1
"Drama","Das verräterische Licht",1966,5,7.8
"Action,Animation,Comedy","Pyatyy vypusk",1972,92,7.4
"Western","Two Rode Together",1961,4885,6.8
"Crime","When London Sleeps",1932,48,6.3
"Comedy,Short","Queenie of Hollywood",1931,5,3.8
"Comedy,Drama,Romance","Alice Adams",1935,3516,6.9
"Short","Ebene 9",2000,25,5.9
"Drama,Sci-Fi","After Amy",2001,230,5.0
"Drama","Sixth and Main",1977,37,6.2
"Comedy","Ponovo u klupi",1973,10,9.6
"Animation,Comedy,Family","Mickey's Steam Roller",1934,296,6.6
"Comedy,Musical","Three Sad Tigers",1961,8,6.6
"Animation,Comedy,Family","A Hick a Slick and a Chick",1948,87,6.3
"Drama,Fantasy","The Torch",1986,48,8.2
"Comedy,Romance,Short","The Sacrifice",1909,5,5.2
"Comedy","Defective Story",1972,7,7.4
"Comedy,Musical,Short","The Hollywood Handicap",1932,29,4.6
"Comedy","Alice Strikes Up the Band",1981,11,6.2
"Comedy","The Dear Departed",1964,32,7.7
"Documentary,Short","1984: A Personal View of Orwell's 'Nineteen Eighty Four'",1983,14,7.4
"Comedy,Family","If I Had a Quarter Million Dollars",1965,140,8.4
"Comedy","Un cura de locura",1979,7,4.6
"Comedy","Villa Cariño",1967,8,3.5
"Biography,Drama,History","Admiral Nakhimov",1947,107,6.4
"Animation,Short","Svinya-kopilka",1963,10,6.5
"Drama,Mystery,Thriller","Murder at the Mardi Gras",1950,11,6.5
"Action,Adventure,Animation","King for a Day",1965,9,7.1
"Comedy,Family","Birds Do It",1966,78,5.0
"Comedy,Short","Between Showers",1914,1316,5.5
"Comedy","Not So Dusty",1956,65,5.7
"Comedy","Cast Your Bread Upon the Waters",1969,6,5.8
"Adventure,Comedy,Drama","Riffraff",1947,472,6.7
"Drama","Epitome",1953,43,7.0
"Comedy,Short","The Campus Carmen",1928,25,6.0
"Adventure","Africa sotto i mari",1953,32,5.2
"Drama","The Enigma",1998,26,6.7
"Drama,Short","The House with Closed Shutters",1910,431,5.9
"Drama,War","The Bamboo Prison",1954,161,6.1
"Drama,History,War","Hell, Heaven or Hoboken",1958,1082,6.9
"Drama","Marie Tudor",1966,7,7.4
"Comedy,Short","Fixing a Flirt",1912,5,4.2
"Documentary,Short","White-Whale Hunters of Anse-Aux-Basques",1960,6,7.5
"Drama,Musical,Thriller","Part Virgin",1961,9,5.8
"Crime,Drama,Mystery","The Big Smoke",1955,16,8.5
"Comedy,Short","A Close Call",1912,7,4.1
"Action,Crime,Drama","Hot Fur",1953,5,6.0
"Comedy,Crime,Musical","Red, Hot and Blue",1949,204,6.1
"Action,Crime,Drama","Danger Ahead",1935,67,5.7
"Action,Crime,Drama","Tunnel of Horrors",1961,39,7.9
"Comedy,Drama,Family","Hans store aften",1946,21,6.9
"Action,Adventure,Animation","The Enchanted Pool",1963,9,6.2
"Biography,Comedy,Drama","The Long Gray Line",1955,2215,7.2
"Adventure,Drama,Fantasy","Kan Kan Men Bhagwan",1963,9,5.6
"Drama","Polkovnik v otstavke",1977,17,6.6
"Drama","Oar",1985,81,7.1
"Adventure,Western","Pirate on Horseback",1958,6,7.2
"Action,Biography,Drama","Billy the Kid",1930,328,6.0
"Comedy,Music,Western","The Silver Bandit",1950,18,2.4
"Comedy,Family","Lucy in the Swiss Alps",1956,166,8.7
"Comedy,History,War","The Execution",1984,180,8.2
"Comedy","Back to West Virginny",1961,11,8.3
"Comedy,Short","A Dozen Socks",1927,11,6.2
"Documentary","Ride the Tiger: A Guide Through the Bipolar Brain",2016,24,7.4
"Action,Drama,Romance","Ten Seconds to Hell",1959,723,6.5
"Animation,Comedy,Family","The Swiss Family Jetson",1985,45,7.1
"Comedy","Lucy's Vacation",1971,12,7.8
"Drama","The Last Hurrah",1977,25,7.1
"Short","Przedzial na sto i wiecej osób",1965,21,6.4
"Animation,Comedy,Family","Meet John Doughboy",1941,248,5.9
"Drama,History,War","The Lost Squadron",1932,591,6.5
"Drama,Music","The Blue Angel",1930,12761,7.7
"Crime,Documentary","Elemental Clue",2006,32,6.3
"Drama,History,Romance","La princesa de los Ursinos",1947,25,6.4
"Drama","Feu Mathias Pascal",1937,107,7.0
"Drama,Short","An Innocent Theft",1912,5,4.2
"Crime,Drama,Film-Noir","Nightmare",1956,605,6.5
"Comedy,Drama,War","Kad mrtvi zapjevaju",1998,867,7.6
"Comedy","Cilali Ibo kadin avcisi",1963,24,3.0
"Action,Drama","Yeduruleni Manishi",1975,7,6.1
"Drama,Musical","Mister Rock and Roll",1957,71,5.6
"Comedy,Romance","The Seven Year Itch",1955,31657,7.1
"Comedy","Hurry, Charlie, Hurry",1941,38,5.9
